[2015-01-10 07:32:49  - Info ] Número de ocurrencias encontradas: 87511
[2015-01-10 07:32:49  - Info ] Registro actualizado correctamente
[2015-01-10 07:32:49  - Info ] Inicio test: MON_1 fichero: 700000.txt en colección: coleccion_700000
[2015-01-10 07:32:55  - Info ] Número de ocurrencias encontradas: 168801
[2015-01-10 07:32:55  - Info ] Registro actualizado correctamente
[2015-01-10 07:32:55  - Info ] Inicio test: MON_2 fichero: 700000.txt en colección: coleccion_700000
[2015-01-10 07:33:05  - Info ] Número de ocurrencias encontradas: 530507
[2015-01-10 07:33:05  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:05  - Info ] Inicio test: MON_3 fichero: 700000.txt en colección: coleccion_700000
[2015-01-10 07:33:05  - Info ] Número de ocurrencias encontradas: 52840
[2015-01-10 07:33:05  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:05  - Info ] Inicio test: MON_4 fichero: 700000.txt en colección: coleccion_700000
[2015-01-10 07:33:11  - Info ] Número de ocurrencias encontradas: 0
[2015-01-10 07:33:11  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:11  - Info ] Inicio test: MON_5 fichero: 700000.txt en colección: coleccion_700000
[2015-01-10 07:33:11  - Info ] Número de ocurrencias encontradas: 5
[2015-01-10 07:33:11  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:11  - Info ] Inicio test: MON_6 fichero: 700000.txt en colección: coleccion_700000
[2015-01-10 07:33:11  - Info ] Número de ocurrencias encontradas: 3422
[2015-01-10 07:33:11  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:11  - Info ] Inicio test: MON_7 fichero: 700000.txt en colección: coleccion_700000
[2015-01-10 07:33:11  - Info ] Número de ocurrencias encontradas: 3990
[2015-01-10 07:33:11  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:11  - Info ] Inicio test: MON_8 fichero: 700000.txt en colección: coleccion_700000
[2015-01-10 07:33:11  - Info ] Número de ocurrencias encontradas: 101957
[2015-01-10 07:33:11  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:11  - Info ] Inicio test: MON_1 fichero: 800000.txt en colección: coleccion_800000
[2015-01-10 07:33:19  - Info ] Número de ocurrencias encontradas: 194400
[2015-01-10 07:33:19  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:19  - Info ] Inicio test: MON_2 fichero: 800000.txt en colección: coleccion_800000
[2015-01-10 07:33:34  - Info ] Número de ocurrencias encontradas: 604761
[2015-01-10 07:33:34  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:34  - Info ] Inicio test: MON_3 fichero: 800000.txt en colección: coleccion_800000
[2015-01-10 07:33:34  - Info ] Número de ocurrencias encontradas: 60678
[2015-01-10 07:33:34  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:34  - Info ] Inicio test: MON_4 fichero: 800000.txt en colección: coleccion_800000
[2015-01-10 07:33:39  - Info ] Número de ocurrencias encontradas: 0
[2015-01-10 07:33:39  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:39  - Info ] Inicio test: MON_5 fichero: 800000.txt en colección: coleccion_800000
[2015-01-10 07:33:39  - Info ] Número de ocurrencias encontradas: 2
[2015-01-10 07:33:39  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:39  - Info ] Inicio test: MON_6 fichero: 800000.txt en colección: coleccion_800000
[2015-01-10 07:33:39  - Info ] Número de ocurrencias encontradas: 4011
[2015-01-10 07:33:39  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:39  - Info ] Inicio test: MON_7 fichero: 800000.txt en colección: coleccion_800000
[2015-01-10 07:33:39  - Info ] Número de ocurrencias encontradas: 4575
[2015-01-10 07:33:40  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:40  - Info ] Inicio test: MON_8 fichero: 800000.txt en colección: coleccion_800000
[2015-01-10 07:33:40  - Info ] Número de ocurrencias encontradas: 116686
[2015-01-10 07:33:40  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:40  - Info ] Inicio test: MON_1 fichero: 900000.txt en colección: coleccion_900000
[2015-01-10 07:33:49  - Info ] Número de ocurrencias encontradas: 218066
[2015-01-10 07:33:49  - Info ] Registro actualizado correctamente
[2015-01-10 07:33:49  - Info ] Inicio test: MON_2 fichero: 900000.txt en colección: coleccion_900000
[2015-01-10 07:34:07  - Info ] Número de ocurrencias encontradas: 680967
[2015-01-10 07:34:07  - Info ] Registro actualizado correctamente
[2015-01-10 07:34:07  - Info ] Inicio test: MON_3 fichero: 900000.txt en colección: coleccion_900000
[2015-01-10 07:34:07  - Info ] Número de ocurrencias encontradas: 68841
[2015-01-10 07:34:07  - Info ] Registro actualizado correctamente
[2015-01-10 07:34:07  - Info ] Inicio test: MON_4 fichero: 900000.txt en colección: coleccion_900000
[2015-01-10 07:34:16  - Info ] Número de ocurrencias encontradas: 0
[2015-01-10 07:34:16  - Info ] Registro actualizado correctamente
[2015-01-10 07:34:16  - Info ] Inicio test: MON_5 fichero: 900000.txt en colección: coleccion_900000
[2015-01-10 07:34:16  - Info ] Número de ocurrencias encontradas: 6
[2015-01-10 07:34:16  - Info ] Registro actualizado correctamente
[2015-01-10 07:34:16  - Info ] Inicio test: MON_6 fichero: 900000.txt en colección: coleccion_900000
[2015-01-10 07:34:16  - Info ] Número de ocurrencias encontradas: 4543
[2015-01-10 07:34:16  - Info ] Registro actualizado correctamente
[2015-01-10 07:34:16  - Info ] Inicio test: MON_7 fichero: 900000.txt en colección: coleccion_900000
[2015-01-10 07:34:17  - Info ] Número de ocurrencias encontradas: 5200
[2015-01-10 07:34:17  - Info ] Registro actualizado correctamente
[2015-01-10 07:34:17  - Info ] Inicio test: MON_8 fichero: 900000.txt en colección: coleccion_900000
[2015-01-10 07:34:17  - Info ] Número de ocurrencias encontradas: 132044
[2015-01-10 07:34:17  - Info ] Registro actualizado correctamente
[2015-01-10 07:34:17  - Info ] Fin test base de datos MongoDB
[2015-01-10 07:38:06  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 07:38:06  - Info ] Creada conexión a base de datos
[2015-01-10 07:38:06  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 07:38:06  - Info ] Creada coleccion.
[2015-01-10 07:38:06  - Info ] Inicio carga de datos.
[2015-01-10 07:38:06  - Info ] Creando índice.
[2015-01-10 07:38:07  - Info ] Creado índice.
[2015-01-10 07:38:08  - Info ] Fin carga de datos.
[2015-01-10 07:38:08  - Info ] Inicio creación índices.
[2015-01-10 07:38:08  - Info ] Fin creación índices.
[2015-01-10 07:56:08  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 07:56:09  - Info ] Creada conexión a base de datos
[2015-01-10 07:56:09  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 07:56:09  - Info ] Creada coleccion.
[2015-01-10 07:56:09  - Info ] Inicio carga de datos.
[2015-01-10 07:56:09  - Info ] Creando índice.
[2015-01-10 07:56:09  - Info ] Creado índice.
[2015-01-10 07:56:10  - Info ] Fin carga de datos.
[2015-01-10 07:56:10  - Info ] Inicio creación índices.
[2015-01-10 07:56:10  - Info ] Fin creación índices.
[2015-01-10 07:56:31  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 07:56:32  - Info ] Creada conexión a base de datos
[2015-01-10 07:56:32  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 07:56:32  - Info ] Creada coleccion.
[2015-01-10 07:56:32  - Info ] Inicio carga de datos.
[2015-01-10 07:56:32  - Info ] Creando índice.
[2015-01-10 07:56:32  - Info ] Creado índice.
[2015-01-10 07:56:32  - Info ] Fin carga de datos.
[2015-01-10 07:56:32  - Info ] Inicio creación índices.
[2015-01-10 07:56:32  - Info ] Fin creación índices.
[2015-01-10 07:56:59  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 07:56:59  - Info ] Creada conexión a base de datos
[2015-01-10 07:56:59  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 07:56:59  - Info ] Creada coleccion.
[2015-01-10 07:56:59  - Info ] Inicio carga de datos.
[2015-01-10 07:56:59  - Info ] Creando índice.
[2015-01-10 07:56:59  - Info ] Creado índice.
[2015-01-10 07:57:00  - Info ] Fin carga de datos.
[2015-01-10 07:57:00  - Info ] Inicio creación índices.
[2015-01-10 07:57:00  - Info ] Fin creación índices.
[2015-01-10 08:00:00  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 08:00:00  - Info ] Creada conexión a base de datos
