[2015-01-22 19:17:14  - Info ] Número de ocurrencias encontradas: 151420
[2015-01-22 19:17:14  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:14  - Info ] Inicio test: MON_3 fichero: 200000.txt en colección: coleccion_200000
[2015-01-22 19:17:14  - Info ] Número de ocurrencias encontradas: 15297
[2015-01-22 19:17:14  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:14  - Info ] Inicio test: MON_4 fichero: 200000.txt en colección: coleccion_200000
[2015-01-22 19:17:15  - Info ] Número de ocurrencias encontradas: 2
[2015-01-22 19:17:15  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:15  - Info ] Inicio test: MON_5 fichero: 200000.txt en colección: coleccion_200000
[2015-01-22 19:17:15  - Info ] Número de ocurrencias encontradas: 0
[2015-01-22 19:17:15  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:15  - Info ] Inicio test: MON_6 fichero: 200000.txt en colección: coleccion_200000
[2015-01-22 19:17:15  - Info ] Número de ocurrencias encontradas: 968
[2015-01-22 19:17:15  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:15  - Info ] Inicio test: MON_7 fichero: 200000.txt en colección: coleccion_200000
[2015-01-22 19:17:15  - Info ] Número de ocurrencias encontradas: 1165
[2015-01-22 19:17:15  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:15  - Info ] Inicio test: MON_8 fichero: 200000.txt en colección: coleccion_200000
[2015-01-22 19:17:16  - Info ] Número de ocurrencias encontradas: 29443
[2015-01-22 19:17:16  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:16  - Info ] Inicio test: MON_1 fichero: 300000.txt en colección: coleccion_300000
[2015-01-22 19:17:17  - Info ] Número de ocurrencias encontradas: 72820
[2015-01-22 19:17:17  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:17  - Info ] Inicio test: MON_2 fichero: 300000.txt en colección: coleccion_300000
[2015-01-22 19:17:18  - Info ] Número de ocurrencias encontradas: 226903
[2015-01-22 19:17:19  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:19  - Info ] Inicio test: MON_3 fichero: 300000.txt en colección: coleccion_300000
[2015-01-22 19:17:19  - Info ] Número de ocurrencias encontradas: 22953
[2015-01-22 19:17:19  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:19  - Info ] Inicio test: MON_4 fichero: 300000.txt en colección: coleccion_300000
[2015-01-22 19:17:20  - Info ] Número de ocurrencias encontradas: 3
[2015-01-22 19:17:20  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:20  - Info ] Inicio test: MON_5 fichero: 300000.txt en colección: coleccion_300000
[2015-01-22 19:17:20  - Info ] Número de ocurrencias encontradas: 2
[2015-01-22 19:17:20  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:20  - Info ] Inicio test: MON_6 fichero: 300000.txt en colección: coleccion_300000
[2015-01-22 19:17:20  - Info ] Número de ocurrencias encontradas: 1550
[2015-01-22 19:17:21  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:21  - Info ] Inicio test: MON_7 fichero: 300000.txt en colección: coleccion_300000
[2015-01-22 19:17:21  - Info ] Número de ocurrencias encontradas: 1737
[2015-01-22 19:17:21  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:21  - Info ] Inicio test: MON_8 fichero: 300000.txt en colección: coleccion_300000
[2015-01-22 19:17:21  - Info ] Número de ocurrencias encontradas: 44043
[2015-01-22 19:17:21  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:21  - Info ] Inicio test: MON_1 fichero: 400000.txt en colección: coleccion_400000
[2015-01-22 19:17:23  - Info ] Número de ocurrencias encontradas: 97350
[2015-01-22 19:17:23  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:23  - Info ] Inicio test: MON_2 fichero: 400000.txt en colección: coleccion_400000
[2015-01-22 19:17:26  - Info ] Número de ocurrencias encontradas: 302262
[2015-01-22 19:17:26  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:26  - Info ] Inicio test: MON_3 fichero: 400000.txt en colección: coleccion_400000
[2015-01-22 19:17:26  - Info ] Número de ocurrencias encontradas: 30770
[2015-01-22 19:17:27  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:27  - Info ] Inicio test: MON_4 fichero: 400000.txt en colección: coleccion_400000
[2015-01-22 19:17:30  - Info ] Número de ocurrencias encontradas: 3
[2015-01-22 19:17:30  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:30  - Info ] Inicio test: MON_5 fichero: 400000.txt en colección: coleccion_400000
[2015-01-22 19:17:30  - Info ] Número de ocurrencias encontradas: 2
[2015-01-22 19:17:30  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:30  - Info ] Inicio test: MON_6 fichero: 400000.txt en colección: coleccion_400000
[2015-01-22 19:17:30  - Info ] Número de ocurrencias encontradas: 2009
[2015-01-22 19:17:30  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:30  - Info ] Inicio test: MON_7 fichero: 400000.txt en colección: coleccion_400000
[2015-01-22 19:17:30  - Info ] Número de ocurrencias encontradas: 2370
[2015-01-22 19:17:30  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:30  - Info ] Inicio test: MON_8 fichero: 400000.txt en colección: coleccion_400000
[2015-01-22 19:17:30  - Info ] Número de ocurrencias encontradas: 59035
[2015-01-22 19:17:30  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:30  - Info ] Inicio test: MON_1 fichero: 500000.txt en colección: coleccion_500000
[2015-01-22 19:17:34  - Info ] Número de ocurrencias encontradas: 121226
[2015-01-22 19:17:34  - Info ] Registro actualizado correctamente
